Class,CreatedAt,Count
UNKNOWN,2008-06-30 00:00:00+00:00,0
UNKNOWN,2008-07-31 00:00:00+00:00,0
UNKNOWN,2008-08-31 00:00:00+00:00,0
UNKNOWN,2008-09-30 00:00:00+00:00,1
UNKNOWN,2008-10-31 00:00:00+00:00,1
UNKNOWN,2008-11-30 00:00:00+00:00,1
UNKNOWN,2008-12-31 00:00:00+00:00,1
UNKNOWN,2009-01-31 00:00:00+00:00,3
UNKNOWN,2009-02-28 00:00:00+00:00,3
UNKNOWN,2009-03-31 00:00:00+00:00,0
UNKNOWN,2009-04-30 00:00:00+00:00,4
UNKNOWN,2009-05-31 00:00:00+00:00,5
UNKNOWN,2009-06-30 00:00:00+00:00,1
UNKNOWN,2009-07-31 00:00:00+00:00,3
UNKNOWN,2009-08-31 00:00:00+00:00,1
UNKNOWN,2009-09-30 00:00:00+00:00,2
UNKNOWN,2009-10-31 00:00:00+00:00,0
UNKNOWN,2009-11-30 00:00:00+00:00,1
UNKNOWN,2009-12-31 00:00:00+00:00,1
UNKNOWN,2010-01-31 00:00:00+00:00,0
UNKNOWN,2010-02-28 00:00:00+00:00,5
UNKNOWN,2010-03-31 00:00:00+00:00,1
UNKNOWN,2010-04-30 00:00:00+00:00,2
UNKNOWN,2010-05-31 00:00:00+00:00,1
UNKNOWN,2010-06-30 00:00:00+00:00,1
UNKNOWN,2010-07-31 00:00:00+00:00,2
UNKNOWN,2010-08-31 00:00:00+00:00,1
UNKNOWN,2010-09-30 00:00:00+00:00,1
UNKNOWN,2010-10-31 00:00:00+00:00,3
UNKNOWN,2010-11-30 00:00:00+00:00,0
UNKNOWN,2010-12-31 00:00:00+00:00,1
UNKNOWN,2011-01-31 00:00:00+00:00,2
UNKNOWN,2011-02-28 00:00:00+00:00,2
UNKNOWN,2011-03-31 00:00:00+00:00,4
UNKNOWN,2011-04-30 00:00:00+00:00,0
UNKNOWN,2011-05-31 00:00:00+00:00,4
UNKNOWN,2011-06-30 00:00:00+00:00,9
UNKNOWN,2011-07-31 00:00:00+00:00,5
UNKNOWN,2011-08-31 00:00:00+00:00,0
UNKNOWN,2011-09-30 00:00:00+00:00,3
UNKNOWN,2011-10-31 00:00:00+00:00,4
UNKNOWN,2011-11-30 00:00:00+00:00,5
UNKNOWN,2011-12-31 00:00:00+00:00,0
UNKNOWN,2012-01-31 00:00:00+00:00,1
UNKNOWN,2012-02-29 00:00:00+00:00,0
UNKNOWN,2012-03-31 00:00:00+00:00,5
UNKNOWN,2012-04-30 00:00:00+00:00,0
UNKNOWN,2012-05-31 00:00:00+00:00,3
UNKNOWN,2012-06-30 00:00:00+00:00,2
UNKNOWN,2012-07-31 00:00:00+00:00,0
UNKNOWN,2012-08-31 00:00:00+00:00,1
UNKNOWN,2012-09-30 00:00:00+00:00,1
UNKNOWN,2012-10-31 00:00:00+00:00,0
UNKNOWN,2012-11-30 00:00:00+00:00,2
UNKNOWN,2012-12-31 00:00:00+00:00,1
UNKNOWN,2013-01-31 00:00:00+00:00,2
UNKNOWN,2013-02-28 00:00:00+00:00,2
UNKNOWN,2013-03-31 00:00:00+00:00,1
UNKNOWN,2013-04-30 00:00:00+00:00,2
UNKNOWN,2013-05-31 00:00:00+00:00,0
UNKNOWN,2013-06-30 00:00:00+00:00,2
UNKNOWN,2013-07-31 00:00:00+00:00,0
UNKNOWN,2013-08-31 00:00:00+00:00,0
UNKNOWN,2013-09-30 00:00:00+00:00,3
UNKNOWN,2013-10-31 00:00:00+00:00,0
UNKNOWN,2013-11-30 00:00:00+00:00,1
UNKNOWN,2013-12-31 00:00:00+00:00,2
UNKNOWN,2014-01-31 00:00:00+00:00,4
UNKNOWN,2014-02-28 00:00:00+00:00,0
UNKNOWN,2014-03-31 00:00:00+00:00,3
UNKNOWN,2014-04-30 00:00:00+00:00,0
UNKNOWN,2014-05-31 00:00:00+00:00,1
UNKNOWN,2014-06-30 00:00:00+00:00,4
UNKNOWN,2014-07-31 00:00:00+00:00,1
UNKNOWN,2014-08-31 00:00:00+00:00,1
UNKNOWN,2014-09-30 00:00:00+00:00,2
UNKNOWN,2014-10-31 00:00:00+00:00,2
